"Background Characteristic","No way to Avoid","Abstain from Sex","Use condom","One sexual partner","Avoid prostitues","Avoid injections","Don't know any way","Percentage with misinformation"
"Project province","NA",NA,NA,NA,NA,NA,NA,NA
"No","3.9","3.4","33.4","68.2","21.0","26.4","15.4","2.9"
"Yes","3.3","2.9","27.3","74.1","20.7","27.9","11.9","4.4"
