"Background Characteristic","No way to Avoid","Abstain from Sex","Use condom","One sexual partner","Avoid prostitues","Avoid injections","Don't know any way","Percentage with misinformation"
"Region",NA,NA,NA,NA,NA,NA,NA,NA
"Northern Uplands","3.5","1.6","37.4","79.6","12.3","30.9","7.9","3.6"
"Red River Delta","1.2","1.4","35.3","85.3","20.3","32.7","4.2","8.0"
"North Central","0.3","6.8","36.9","72.3","14.1","20.9","8.1","1.2"
"Central Coast","7.1","8.0","34.6","55.1","21.5","20.0","20.4","1.3"
"Central Highlands","16.3","0.7","15.0","53.6","23.5","33.0","27.8","1.9"
"Southeast","6.4","2.8","31.7","62.7","30.3","20.5","19.3","0.2"
"Mekong River Delta","3.9","3.1","17.9","54.2","28.4","26.4","29.8","2.2"
