"Background Characteristic","No way to Avoid","Abstain from Sex","Use condom","One sexual partner","Avoid prostitues","Avoid injections","Don't know any way","Percentage with misinformation"
"Age",NA,NA,NA,NA,NA,NA,NA,NA
"15-19","4.1","1.5","29.4","67.8","11.6","17.0","14.7","1.9"
"20-24","5.2","4.2","29.5","68.8","16.1","22.3","17.0","2.4"
"25-29","2.5","3.3","34.4","68.4","18.6","25.6","14.4","2.7"
"30-39","4.2","3.2","32.8","72.2","21.9","27.5","13.0","3.2"
"40-49","3.1","3.1","29.0","68.2","24.0","29.7","15.2","4.6"
