"Background Characteristic","No way to Avoid","Abstain from Sex","Use condom","One sexual partner","Avoid prostitues","Avoid injections","Don't know any way","Percentage with misinformation"
"Residence",NA,NA,NA,NA,NA,NA,NA,NA
"Urban","1.9","4.6","40.3","75.2","32.5","37.2","7.6","3.4"
"Rural","4.2","2.9","29.5","68.6","18.0","24.2","16.1","3.3"
